image_id,path,relative_path,label,label_idx,phash,group_id
BACTERAILBLIGHT3_207,data\raw\rice_leaf_disease\Bacterial Blight\BACTERAILBLIGHT3_207.jpg,Bacterial Blight\BACTERAILBLIGHT3_207.jpg,Bacterial Blight,0,bfe5a033d81cce82,Bacterial Blight__bfe5a033d81cce82
BACTERIALBLIGHT1_111,data\raw\rice_leaf_disease\Bacterial Blight\BACTERIALBLIGHT1_111.jpg,Bacterial Blight\BACTERIALBLIGHT1_111.jpg,Bacterial Blight,0,bfe5a033d81cce82,Bacterial Blight__bfe5a033d81cce82
BACTERAILBLIGHT3_224,data\raw\rice_leaf_disease\Bacterial Blight\BACTERAILBLIGHT3_224.jpg,Bacterial Blight\BACTERAILBLIGHT3_224.jpg,Bacterial Blight,0,b3cc0cb0173e2fb8,Bacterial Blight__b3cc0cb0173e2fb8
BACTERAILBLIGHT3_263,data\raw\rice_leaf_disease\Bacterial Blight\BACTERAILBLIGHT3_263.jpg,Bacterial Blight\BACTERAILBLIGHT3_263.jpg,Bacterial Blight,0,b3cc0cb0173e2fb8,Bacterial Blight__b3cc0cb0173e2fb8
BACTERIALBLIGHT1_128,data\raw\rice_leaf_disease\Bacterial Blight\BACTERIALBLIGHT1_128.jpg,Bacterial Blight\BACTERIALBLIGHT1_128.jpg,Bacterial Blight,0,b3cc0cb0173e2fb8,Bacterial Blight__b3cc0cb0173e2fb8
BACTERIALBLIGHT1_166,data\raw\rice_leaf_disease\Bacterial Blight\BACTERIALBLIGHT1_166.jpg,Bacterial Blight\BACTERIALBLIGHT1_166.jpg,Bacterial Blight,0,b3cc0cb0173e2fb8,Bacterial Blight__b3cc0cb0173e2fb8
BACTERAILBLIGHT4_154,data\raw\rice_leaf_disease\Bacterial Blight\BACTERAILBLIGHT4_154.jpg,Bacterial Blight\BACTERAILBLIGHT4_154.jpg,Bacterial Blight,0,9d36306cecd9261e,Bacterial Blight__9d36306cecd9261e
BACTERAILBLIGHT4_213,data\raw\rice_leaf_disease\Bacterial Blight\BACTERAILBLIGHT4_213.jpg,Bacterial Blight\BACTERAILBLIGHT4_213.jpg,Bacterial Blight,0,9d36306cecd9261e,Bacterial Blight__9d36306cecd9261e
BACTERAILBLIGHT5_117,data\raw\rice_leaf_disease\Bacterial Blight\BACTERAILBLIGHT5_117.jpg,Bacterial Blight\BACTERAILBLIGHT5_117.jpg,Bacterial Blight,0,9d36306cecd9261e,Bacterial Blight__9d36306cecd9261e
BACTERAILBLIGHT5_251,data\raw\rice_leaf_disease\Bacterial Blight\BACTERAILBLIGHT5_251.jpg,Bacterial Blight\BACTERAILBLIGHT5_251.jpg,Bacterial Blight,0,9d36306cecd9261e,Bacterial Blight__9d36306cecd9261e
BACTERIALBLIGHT2_044,data\raw\rice_leaf_disease\Bacterial Blight\BACTERIALBLIGHT2_044.jpg,Bacterial Blight\BACTERIALBLIGHT2_044.jpg,Bacterial Blight,0,9d36306cecd9261e,Bacterial Blight__9d36306cecd9261e
BACTERAILBLIGHT3_039,data\raw\rice_leaf_disease\Bacterial Blight\BACTERAILBLIGHT3_039.jpg,Bacterial Blight\BACTERAILBLIGHT3_039.jpg,Bacterial Blight,0,bf12a0c8d8c3ce79,Bacterial Blight__bf12a0c8d8c3ce79
